db_type,img_name,mem,mem-why,int,int-why,tru,tru-why,emp,emp-why,aes,aes-why,itt,itt-why,cft,cft-why
Rand10_QPromptV3,COVID-1,6,Clear data presentation aids recall,5,"Familiar format, but lacks engagement",6,Data from WHO seems reliable,4,Limited personal connection to global data,5,"Clean design, but could be more visually appealing",6,Standard bar chart format is easy to understand,5,"Comfortable with the data presentation, but not emotionally invested"
Rand10_QPromptV3,COVID-1,5,"Simple layout helps memory, but may need more context",4,Basic design might not captivate interest,7,WHO as a source increases trustworthiness,3,May struggle to relate to global statistics,4,"Functional design, but lacks visual flair",5,"Bar charts are familiar, but might need explanation",4,Neutral comfort level due to potentially overwhelming information
Rand10_QPromptV3,COVID-1,5,Easy to remember key points for business insights,6,Relevant data for understanding global market trends,6,Reputable source increases confidence in data,5,May relate to data for business decision-making,4,Functional but not visually striking,6,Straightforward presentation of data,5,"Comfortable with the information, but may desire more detail"
Rand10_QPromptV3,COVID-1,7,Simple data structure aligns with coding mindset,6,Intriguing global data sparks curiosity,5,"Trusts the source, but may question data collection methods",3,May find it hard to personally connect with global statistics,6,"Appreciates the clean, minimalist design",7,Logical data presentation appeals to analytical thinking,6,Feels at ease with the straightforward data visualization
Rand10_QPromptV3,COVID-1,4,"Basic design aids recall, but may need more context",5,Data on global health crisis could be engaging,6,WHO as a source provides credibility,4,May struggle to relate to global statistics,3,Functional but not visually engaging,5,"Simple format, but may need explanation",4,Neutral comfort due to potentially concerning health data
Rand10_QPromptV3,COVID-2,6,Easy to recall due to clear data presentation,5,Relevant but not particularly exciting for a tech professional,7,Data from a reputable source with clear citation,5,Moderate empathy due to societal impact,6,Clean design with effective use of color,7,Clear layout and intuitive progression of data,6,Familiar with such data presentations
Rand10_QPromptV3,COVID-2,5,Somewhat memorable but may require effort to recall details,6,Intriguing due to its relevance to current events,6,Appears credible with cited source,7,High empathy due to concern for children's health,5,Functional design but not exceptionally pleasing,5,May require some time to fully comprehend,5,Slightly overwhelmed by the amount of data
Rand10_QPromptV3,COVID-2,4,Moderately memorable but not directly related to their business,5,Interesting but not immediately applicable to their work,6,Trustworthy due to official source citation,4,Limited personal connection to the data,5,Adequate design for information presentation,6,Relatively easy to understand the trend,5,Neutral comfort level with the chart
Rand10_QPromptV3,COVID-2,7,Easily remembered due to clear data visualization,7,Highly interesting for a student interested in data analysis,7,Trustworthy due to academic citation and reputable source,5,Moderate empathy due to age proximity to subjects,7,Visually appealing with effective use of color coding,7,Intuitive representation of data over time,7,Very comfortable with this type of chart
Rand10_QPromptV3,COVID-2,5,Somewhat memorable but may struggle with specific details,6,Interesting due to its relevance to children's health,6,Appears trustworthy with official source cited,7,High empathy due to concern for children's well-being,5,Functional design but not exceptionally attractive,4,May find the stacked bar format slightly confusing,4,Slightly uncomfortable due to the serious subject matter
Rand10_QPromptV3,COVID-3,6,Easy to recall US map with color coding,5,Relevant topic but presentation is basic,6,Reputable sources cited increase trustworthiness,5,Data relevant to tech industry's remote work trends,4,Functional design but not particularly aesthetic,6,Color legend makes interpretation straightforward,5,Familiar format but dense information may be overwhelming
